date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
24/11/16,08:36:37,MULI Pointer,,Server,updateArea,,,,4837,0,1,3,,,,
24/11/16,08:37:03,MULI Pointer,,Server,updateArea,,,,6740,26728,1,0,,,,
24/11/16,08:37:04,MULI Pointer,,Server,updateArea,,,,5529,4112,1,2,,,,
24/11/16,08:37:04,MULI Pointer,,Server,updateArea,,,,5801,25957,1,2,,,,
24/11/16,08:37:05,MULI Pointer,,Server,updateArea,,,,4936,25186,1,3,,,,
24/11/16,08:37:06,MULI Pointer,,Server,updateArea,,,,4121,24415,1,1,,,,
24/11/16,08:37:14,MULI Pointer,,Server,updateArea,,,,4121,36237,1,3,,,,
24/11/16,08:37:14,MULI Pointer,,Server,updateArea,,,,4022,27756,1,1,,,,
24/11/16,08:37:14,MULI Pointer,,Server,updateArea,,,,3948,29555,1,1,,,,
24/11/16,08:37:15,MULI Pointer,,Server,updateArea,,,,4689,35980,1,2,,,,
24/11/16,08:37:16,MULI Pointer,,Server,updateArea,,,,4689,28270,1,0,,,,
24/11/16,08:56:24,MULI Pointer,,Server,updateArea,,,,3849,34952,1,3,,,,
24/11/16,08:56:24,MULI Pointer,,Server,updateArea,,,,3972,28270,1,1,,,,
24/11/16,08:56:24,MULI Pointer,,Server,updateArea,,,,3972,26728,1,1,,,,
24/11/16,08:56:24,MULI Pointer,,Server,updateArea,,,,3602,31868,1,3,,,,
24/11/16,08:56:25,MULI Pointer,,Server,updateArea,,,,4985,0,1,0,,,,
24/11/16,08:56:25,MULI Pointer,,Server,updateArea,,,,4145,514,1,1,,,,
24/11/16,08:56:25,MULI Pointer,,Server,updateArea,,,,5603,0,1,2,,,,
24/11/16,08:56:26,MULI Pointer,,Server,updateArea,,,,4195,0,1,1,,,,
24/11/16,08:56:26,MULI Pointer,,Server,updateArea,,,,3577,0,1,3,,,,
24/11/16,08:57:05,MULI Pointer,,Server,updateArea,,,,4985,0,1,0,,,,
24/11/16,08:57:05,MULI Pointer,,Server,updateArea,,,,4195,0,1,1,,,,
24/11/16,08:57:05,MULI Pointer,,Server,updateArea,,,,5603,0,1,2,,,,
24/11/16,08:57:05,MULI Pointer,,Server,updateArea,,,,3577,0,1,3,,,,
24/11/16,08:57:26,MULI Pointer,,Server,updateArea,,,,5010,14906,1,0,,,,
24/11/16,08:57:26,MULI Pointer,,Server,updateArea,,,,4392,15420,1,1,,,,
24/11/16,08:57:26,MULI Pointer,,Server,updateArea,,,,4442,21845,1,3,,,,
24/11/16,08:57:26,MULI Pointer,,Server,updateArea,,,,5010,21845,1,2,,,,
24/11/16,08:57:34,MULI Pointer,,Server,updateArea,,,,3528,13621,1,0,,,,
24/11/16,08:57:34,MULI Pointer,,Server,updateArea,,,,2910,14135,1,1,,,,
24/11/16,08:57:34,MULI Pointer,,Server,updateArea,,,,3478,20046,1,2,,,,
24/11/16,08:57:34,MULI Pointer,,Server,updateArea,,,,2910,20560,1,3,,,,
24/11/16,08:57:44,MULI Pointer,,Server,updateArea,,,,3454,9509,1,0,,,,
24/11/16,08:57:44,MULI Pointer,,Server,updateArea,,,,3404,16448,1,2,,,,
24/11/16,08:57:44,MULI Pointer,,Server,updateArea,,,,2836,7453,1,1,,,,
24/11/16,08:57:44,MULI Pointer,,Server,updateArea,,,,2836,14135,1,3,,,,
24/11/16,08:57:44,MULI Pointer,,Server,updateArea,,,,3454,14906,1,0,,,,
24/11/16,08:57:44,MULI Pointer,,Server,updateArea,,,,3404,21331,1,2,,,,
24/11/16,08:57:44,MULI Pointer,,Server,updateArea,,,,2861,20817,1,3,,,,
24/11/16,08:57:44,MULI Pointer,,Server,updateArea,,,,2861,14649,1,1,,,,
24/11/16,08:57:45,MULI Pointer,,Server,updateArea,,,,3404,12593,1,0,,,,
24/11/16,08:57:45,MULI Pointer,,Server,updateArea,,,,3429,19018,1,2,,,,
24/11/16,08:57:45,MULI Pointer,,Server,updateArea,,,,2787,10537,1,1,,,,
24/11/16,08:57:45,MULI Pointer,,Server,updateArea,,,,2836,17219,1,3,,,,
