date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
13/02/17,08:02:23,MULI Pointer,,Server,updateArea,,,,6418,0,1,2,,,,
13/02/17,08:02:23,MULI Pointer,,Server,updateArea,,,,5084,0,1,3,,,,
13/02/17,08:02:25,MULI Pointer,,Server,updateArea,,,,5084,0,1,3,,,,
13/02/17,08:02:26,MULI Pointer,,Server,updateArea,,,,6344,0,1,2,,,,
13/02/17,08:02:26,MULI Pointer,,Server,updateArea,,,,6418,0,1,2,,,,
13/02/17,08:02:28,MULI Pointer,,Server,updateArea,,,,6344,0,1,2,,,,
13/02/17,08:02:29,MULI Pointer,,Server,updateArea,,,,6418,0,1,2,,,,
13/02/17,08:02:29,MULI Pointer,,Server,updateArea,,,,5084,0,1,3,,,,
13/02/17,08:02:30,MULI Pointer,,Server,updateArea,,,,6344,0,1,2,,,,
13/02/17,08:02:30,MULI Pointer,,Server,updateArea,,,,5084,0,1,3,,,,
13/02/17,08:02:31,MULI Pointer,,Server,updateArea,,,,6418,0,1,2,,,,
13/02/17,08:02:31,MULI Pointer,,Server,updateArea,,,,5084,0,1,3,,,,
13/02/17,08:02:32,MULI Pointer,,Server,updateArea,,,,6344,0,1,2,,,,
13/02/17,08:02:32,MULI Pointer,,Server,updateArea,,,,5084,0,1,3,,,,
13/02/17,08:02:33,MULI Pointer,,Server,updateArea,,,,6418,0,1,2,,,,
13/02/17,08:02:33,MULI Pointer,,Server,updateArea,,,,5109,0,1,3,,,,
13/02/17,08:02:34,MULI Pointer,,Server,updateArea,,,,6344,0,1,2,,,,
13/02/17,08:02:34,MULI Pointer,,Server,updateArea,,,,5084,0,1,3,,,,
13/02/17,08:02:52,MULI Pointer,,Server,updateArea,,,,6418,0,1,2,,,,
13/02/17,08:02:54,MULI Pointer,,Server,updateArea,,,,6344,0,1,2,,,,
13/02/17,08:03:09,MULI Pointer,,Server,updateArea,,,,6418,0,1,2,,,,
13/02/17,08:03:11,MULI Pointer,,Server,updateArea,,,,6344,0,1,2,,,,
13/02/17,08:03:11,MULI Pointer,,Server,updateArea,,,,6418,0,1,2,,,,
13/02/17,08:03:13,MULI Pointer,,Server,updateArea,,,,6344,0,1,2,,,,
13/02/17,08:03:17,MULI Pointer,,Server,updateArea,,,,5109,0,1,3,,,,
13/02/17,08:14:02,MULI Pointer,,Server,updateArea,,,,6221,22616,1,0,,,,
13/02/17,08:14:03,MULI Pointer,,Server,updateArea,,,,6221,22616,1,1,,,,
13/02/17,08:26:32,MULI Pointer,,Server,updateArea,,,,2787,35723,1,0,,,,
13/02/17,08:26:33,MULI Pointer,,Server,updateArea,,,,3454,28270,1,3,,,,
13/02/17,08:26:33,MULI Pointer,,Server,updateArea,,,,2663,28527,1,1,,,,
13/02/17,08:26:33,MULI Pointer,,Server,updateArea,,,,3478,35466,1,2,,,,
13/02/17,08:34:27,MULI Pointer,,Server,updateArea,,,,2787,28527,1,1,,,,
13/02/17,08:34:28,MULI Pointer,,Server,updateArea,,,,2861,34181,1,0,,,,
13/02/17,08:34:28,MULI Pointer,,Server,updateArea,,,,3478,34181,1,2,,,,
13/02/17,08:34:29,MULI Pointer,,Server,updateArea,,,,2712,24158,1,0,,,,
13/02/17,08:34:29,MULI Pointer,,Server,updateArea,,,,2712,16962,1,1,,,,
13/02/17,08:34:29,MULI Pointer,,Server,updateArea,,,,3330,23644,1,2,,,,
