date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
21/02/17,09:02:06,MULI Pointer,,Server,updateArea,,,,3305,37265,1,0,,,,
21/02/17,09:02:28,MULI Pointer,,Server,updateArea,,,,3404,35466,1,0,,,,
21/02/17,09:02:29,MULI Pointer,,Server,updateArea,,,,3725,34438,1,0,,,,
21/02/17,09:02:29,MULI Pointer,,Server,updateArea,,,,3849,33410,1,0,,,,
21/02/17,09:02:30,MULI Pointer,,Server,updateArea,,,,4121,50115,1,0,,,,
21/02/17,09:02:39,MULI Pointer,,Server,updateArea,,,,3108,38036,1,1,,,,
21/02/17,09:02:39,MULI Pointer,,Server,updateArea,,,,3207,31868,1,3,,,,
21/02/17,09:02:39,MULI Pointer,,Server,updateArea,,,,4121,48830,1,0,,,,
21/02/17,09:02:40,MULI Pointer,,Server,updateArea,,,,2515,38807,1,2,,,,
21/02/17,09:02:46,MULI Pointer,,Server,updateArea,,,,4195,47545,1,0,,,,
21/02/17,10:04:36,MULI Pointer,,Server,updateArea,,,,4269,45489,1,0,,,,
21/02/17,10:04:56,MULI Pointer,,Server,updateArea,,,,2515,47031,1,2,,,,
21/02/17,10:04:57,MULI Pointer,,Server,updateArea,,,,2465,43176,1,2,,,,
21/02/17,10:04:58,MULI Pointer,,Server,updateArea,,,,2416,41891,1,2,,,,
21/02/17,10:05:13,MULI Pointer,,Server,updateArea,,,,3330,30840,1,3,,,,
21/02/17,10:05:14,MULI Pointer,,Server,updateArea,,,,3380,37779,1,1,,,,
21/02/17,10:05:15,MULI Pointer,,Server,updateArea,,,,3256,37522,1,1,,,,
21/02/17,10:05:15,MULI Pointer,,Server,updateArea,,,,3380,38036,1,1,,,,
21/02/17,10:05:16,MULI Pointer,,Server,updateArea,,,,3305,29555,1,3,,,,
21/02/17,10:05:17,MULI Pointer,,Server,updateArea,,,,3256,28270,1,3,,,,
21/02/17,10:05:17,MULI Pointer,,Server,updateArea,,,,3256,26728,1,3,,,,
21/02/17,10:05:19,MULI Pointer,,Server,updateArea,,,,3157,28270,1,3,,,,
21/02/17,10:05:19,MULI Pointer,,Server,updateArea,,,,3305,29555,1,3,,,,
21/02/17,10:05:34,MULI Pointer,,Server,updateArea,,,,3157,29812,1,3,,,,
21/02/17,10:05:34,MULI Pointer,,Server,updateArea,,,,3034,30326,1,3,,,,
21/02/17,10:05:35,MULI Pointer,,Server,updateArea,,,,3157,30326,1,3,,,,
21/02/17,10:05:35,MULI Pointer,,Server,updateArea,,,,3330,30069,1,3,,,,
21/02/17,10:20:38,MULI Pointer,,Server,updateArea,,,,4590,46260,1,0,,,,
21/02/17,10:20:38,MULI Pointer,,Server,updateArea,,,,6072,53713,1,0,,,,
21/02/17,10:20:44,MULI Pointer,,Server,updateArea,,,,5850,25443,1,0,,,,
21/02/17,10:20:45,MULI Pointer,,Server,updateArea,,,,5751,24158,1,0,,,,
21/02/17,10:20:46,MULI Pointer,,Server,updateArea,,,,7876,65278,1,0,,,,
21/02/17,10:20:47,MULI Pointer,,Server,updateArea,,,,8000,65535,1,0,,,,
21/02/17,10:27:30,MULI Pointer,,Server,updateArea,,,,3478,39578,1,1,,,,
21/02/17,10:27:31,MULI Pointer,,Server,updateArea,,,,3503,40863,1,1,,,,
21/02/17,10:27:31,MULI Pointer,,Server,updateArea,,,,3602,47288,1,1,,,,
21/02/17,10:27:31,MULI Pointer,,Server,updateArea,,,,3651,49344,1,1,,,,
21/02/17,10:27:32,MULI Pointer,,Server,updateArea,,,,3849,59881,1,1,,,,
21/02/17,10:27:32,MULI Pointer,,Server,updateArea,,,,3874,61937,1,1,,,,
21/02/17,10:27:36,MULI Pointer,,Server,updateArea,,,,3676,63222,1,1,,,,
21/02/17,11:59:45,MULI Pointer,,Server,updateArea,,,,3577,40863,1,3,,,,
21/02/17,11:59:48,MULI Pointer,,Server,updateArea,,,,3503,30326,1,3,,,,
21/02/17,12:00:10,MULI Pointer,,Server,updateArea,,,,3552,41634,1,3,,,,
21/02/17,12:19:18,MULI Pointer,,Server,updateArea,,,,5949,61423,1,1,,,,
21/02/17,12:19:23,MULI Pointer,,Server,updateArea,,,,3923,62194,1,1,,,,
21/02/17,12:19:23,MULI Pointer,,Server,updateArea,,,,2441,40349,1,2,,,,
21/02/17,12:19:24,MULI Pointer,,Server,updateArea,,,,2095,27756,1,2,,,,
21/02/17,12:19:24,MULI Pointer,,Server,updateArea,,,,1971,24672,1,2,,,,
21/02/17,12:19:25,MULI Pointer,,Server,updateArea,,,,1774,30069,1,2,,,,
21/02/17,12:19:25,MULI Pointer,,Server,updateArea,,,,1774,42148,1,2,,,,
21/02/17,12:19:26,MULI Pointer,,Server,updateArea,,,,1798,27242,1,2,,,,
21/02/17,12:19:26,MULI Pointer,,Server,updateArea,,,,1798,25957,1,2,,,,
21/02/17,12:19:27,MULI Pointer,,Server,updateArea,,,,1798,24415,1,2,,,,
21/02/17,12:19:27,MULI Pointer,,Server,updateArea,,,,1848,40092,1,2,,,,
21/02/17,12:19:30,MULI Pointer,,Server,updateArea,,,,1872,41891,1,2,,,,
