date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
30/01/17,09:52:20,MULI Pointer,1,Server,setLight,,,,8000,65535,1,2,,,,
30/01/17,09:52:24,MULI Pointer,1,Server,setLight,,,,8000,60909,1,2,,,,
30/01/17,09:52:27,MULI Pointer,1,Server,setLight,,,,1700,0,1,2,,,,
30/01/17,09:52:33,MULI Pointer,1,Server,setLight,,,,6616,35466,1,2,,,,
30/01/17,09:52:36,MULI Pointer,1,Server,setLight,,,,7950,63479,1,2,,,,
30/01/17,09:52:41,MULI Pointer,1,Server,setLight,,,,1823,0,1,2,,,,
30/01/17,09:53:50,MULI Pointer,1,Server,setLight,,,,1823,0,1,2,,,,
30/01/17,09:53:52,MULI Pointer,1,Server,setLight,,,,8000,65278,1,2,,,,
30/01/17,09:53:53,MULI Pointer,1,Server,setLight,,,,8000,65278,1,2,,,,
30/01/17,09:54:01,MULI Pointer,1,Server,setLight,,,,6221,30583,1,2,,,,
30/01/17,09:54:11,MULI Pointer,1,Server,setLight,,,,5356,35209,1,2,,,,
30/01/17,09:54:12,MULI Pointer,1,Server,setLight,,,,5356,35209,1,2,,,,
30/01/17,09:54:16,MULI Pointer,1,Server,setLight,,,,5356,35209,1,2,,,,
30/01/17,09:54:17,MULI Pointer,1,Server,setLight,,,,4467,35209,1,2,,,,
30/01/17,09:54:20,MULI Pointer,1,Server,setLight,,,,3800,35209,1,2,,,,
30/01/17,09:54:21,MULI Pointer,1,Server,setLight,,,,3355,35209,1,2,,,,
30/01/17,09:54:25,MULI Pointer,1,Server,setLight,,,,3577,35209,1,2,,,,
30/01/17,09:55:24,MULI Pointer,1,Server,setLight,,,,5109,35209,1,2,,,,
30/01/17,09:56:15,MULI Pointer,1,Server,setLight,,,,3330,35209,1,2,,,,
30/01/17,09:56:20,MULI Pointer,1,Server,setLight,,,,3108,35209,1,2,,,,
30/01/17,09:56:23,MULI Pointer,1,Server,setLight,,,,3108,65278,1,2,,,,
30/01/17,09:56:35,MULI Pointer,1,Server,setLight,,,,5331,65278,1,2,,,,
30/01/17,09:56:40,MULI Pointer,1,Server,setLight,,,,4220,65278,1,2,,,,
30/01/17,09:56:45,MULI Pointer,1,Server,setLight,,,,4220,37265,1,2,,,,
30/01/17,09:56:49,MULI Pointer,1,Server,setLight,,,,3775,37265,1,2,,,,
30/01/17,09:56:56,MULI Pointer,1,Server,setLight,,,,3775,65278,1,2,,,,
30/01/17,09:57:01,MULI Pointer,1,Server,setLight,,,,3775,35209,1,2,,,,
30/01/17,09:57:16,MULI Pointer,1,Server,setLight,,,,8000,65278,1,2,,,,
30/01/17,09:59:36,MULI Pointer,1,Server,setLight,,,,1700,65278,1,2,,,,
30/01/17,09:59:38,MULI Pointer,1,Server,setLight,,,,2144,65278,1,2,,,,
30/01/17,09:59:40,MULI Pointer,1,Server,setLight,,,,2589,65278,1,2,,,,
30/01/17,09:59:42,MULI Pointer,1,Server,setLight,,,,1700,65278,1,2,,,,
30/01/17,09:59:46,MULI Pointer,1,Server,setLight,,,,2811,65278,1,2,,,,
30/01/17,09:59:55,MULI Pointer,1,Server,setLight,,,,4145,65278,1,2,,,,
30/01/17,10:00:14,MULI Pointer,1,Server,setLight,,,,7925,65278,1,2,,,,
30/01/17,10:00:23,MULI Pointer,1,Server,setLight,,,,6147,65278,1,2,,,,
30/01/17,10:00:24,MULI Pointer,1,Server,setLight,,,,6147,65278,1,2,,,,
30/01/17,10:00:26,MULI Pointer,1,Server,setLight,,,,6147,65278,1,2,,,,
30/01/17,10:00:29,MULI Pointer,1,Server,setLight,,,,1897,65278,1,2,,,,
30/01/17,10:00:34,MULI Pointer,1,Server,setLight,,,,1897,65278,1,2,,,,
30/01/17,10:00:38,MULI Pointer,1,Server,setLight,,,,7925,65278,1,2,,,,
30/01/17,10:00:49,MULI Pointer,1,Server,setLight,,,,7925,35209,1,2,,,,
30/01/17,10:00:51,MULI Pointer,1,Server,setLight,,,,7925,37522,1,2,,,,
30/01/17,10:00:53,MULI Pointer,1,Server,setLight,,,,7925,39835,1,2,,,,
30/01/17,10:01:22,MULI Pointer,1,Server,setLight,,,,7925,39835,1,2,,,,
30/01/17,10:01:23,MULI Pointer,1,Server,setLight,,,,7925,39835,1,2,,,,
30/01/17,10:01:24,MULI Pointer,1,Server,setLight,,,,7925,39835,1,2,,,,
30/01/17,10:01:27,MULI Pointer,1,Server,setLight,,,,1700,65535,1,2,,,,
30/01/17,10:01:36,MULI Pointer,1,Server,setLight,,,,7925,65535,1,2,,,,
30/01/17,10:01:40,MULI Pointer,1,Server,setLight,,,,1700,65535,1,2,,,,
