date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
29/03/17,08:54:35,MULI Pointer,192.168.1.52,Server,applyDrawing,,5182,,8000,65534,1,1,,,,
29/03/17,08:54:35,MULI Pointer,192.168.1.52,Server,setActivity,,5513,0,,,1,1,,,,
29/03/17,09:13:13,MULI Pointer,192.168.1.62,Server,applyDrawing,,4461,,8000,65534,1,0,,,,
29/03/17,09:13:14,MULI Pointer,192.168.1.62,Server,setActivity,,5570,0,,,1,0,,,,
29/03/17,09:13:19,MULI Pointer,192.168.1.62,Server,applyDrawing,,2819,,8000,65534,1,0,,,,
29/03/17,09:13:33,MULI Pointer,192.168.1.62,Server,applyDrawing,,6596,,6824,9867,2,1,3,,,
29/03/17,09:13:34,MULI Pointer,192.168.1.62,Server,setActivity,,7460,0,,,2,1,3,,,
29/03/17,09:13:42,MULI Pointer,192.168.1.62,Server,applyDrawing,,6985,,6419,9077,1,2,,,,
29/03/17,09:13:42,MULI Pointer,192.168.1.62,Server,setActivity,,7786,0,,,1,2,,,,
29/03/17,09:18:23,MULI Pointer,192.168.1.52,Server,setActivity,,5675,4,,,1,1,,,,
29/03/17,10:48:21,MULI Pointer,192.168.1.16,Server,applyDrawing,,1910,,8000,65534,1,0,,,,
29/03/17,10:48:22,MULI Pointer,192.168.1.16,Server,setActivity,,3397,0,,,1,0,,,,
29/03/17,10:48:26,MULI Pointer,192.168.1.16,Server,applyDrawing,,3863,,8000,65534,1,0,,,,
29/03/17,10:48:27,MULI Pointer,192.168.1.16,Server,setActivity,,4259,0,,,1,0,,,,
29/03/17,11:22:55,MULI Pointer,192.168.1.62,Server,applyDrawing,,5845,,8000,65534,1,0,,,,
29/03/17,11:23:08,MULI Pointer,192.168.1.62,Server,applyDrawing,,6557,,8000,65534,1,0,,,,
29/03/17,11:23:12,MULI Pointer,192.168.1.62,Server,setActivity,,10494,0,,,1,0,,,,
29/03/17,11:23:20,MULI Pointer,192.168.1.62,Server,applyDrawing,,3383,,8000,65534,1,0,,,,
29/03/17,11:23:21,MULI Pointer,192.168.1.62,Server,setActivity,,4593,0,,,1,0,,,,
29/03/17,11:23:28,MULI Pointer,192.168.1.62,Server,applyDrawing,,1925,,8000,65534,1,0,,,,
29/03/17,11:23:30,MULI Pointer,192.168.1.62,Server,setActivity,,4710,0,,,1,0,,,,
29/03/17,17:53:56,MULI Pointer,192.168.1.62,Server,applyDrawing,,4306,,8000,65534,1,0,,,,
29/03/17,17:53:58,MULI Pointer,192.168.1.62,Server,setActivity,,5983,0,,,1,0,,,,
29/03/17,17:54:19,MULI Pointer,192.168.1.62,Server,removeDrawing,,4653,,,,1,2,,,,
29/03/17,17:54:20,MULI Pointer,192.168.1.62,Server,removeDrawing,,591,,,,1,2,,,,
29/03/17,17:54:21,MULI Pointer,192.168.1.62,Server,removeDrawing,,839,,,,1,3,,,,
29/03/17,17:54:24,MULI Pointer,192.168.1.62,Server,removeDrawing,,508,,,,1,3,,,,
