date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
15/02/17,09:00:41,MULI Pointer,,Server,updateArea,,,,5801,52428,1,0,,,,
15/02/17,09:00:43,MULI Pointer,,Server,updateArea,,,,5010,49858,1,3,,,,
15/02/17,09:00:44,MULI Pointer,,Server,updateArea,,,,4541,44461,1,1,,,,
15/02/17,09:00:45,MULI Pointer,,Server,updateArea,,,,4195,48830,1,1,,,,
15/02/17,09:10:58,MULI Pointer,,Server,updateArea,,,,7258,47031,1,2,,,,
15/02/17,09:10:58,MULI Pointer,,Server,updateArea,,,,5060,17219,1,2,,,,
15/02/17,09:10:59,MULI Pointer,,Server,updateArea,,,,5035,14392,1,2,,,,
15/02/17,09:11:01,MULI Pointer,,Server,updateArea,,,,4318,1285,1,2,,,,
15/02/17,09:11:02,MULI Pointer,,Server,updateArea,,,,4269,0,1,2,,,,
15/02/17,09:11:04,MULI Pointer,,Server,updateArea,,,,4071,2056,1,2,,,,
15/02/17,09:11:04,MULI Pointer,,Server,updateArea,,,,3305,16448,1,2,,,,
15/02/17,09:11:06,MULI Pointer,,Server,updateArea,,,,4368,22873,1,2,,,,
15/02/17,09:11:07,MULI Pointer,,Server,updateArea,,,,6344,44975,1,2,,,,
15/02/17,09:25:42,MULI Pointer,,Server,updateArea,,,,7752,63479,1,2,,,,
15/02/17,09:25:42,MULI Pointer,,Server,updateArea,,,,7901,65278,1,2,,,,
15/02/17,09:25:57,MULI Pointer,,Server,updateArea,,,,2120,65535,1,0,,,,
15/02/17,09:25:57,MULI Pointer,,Server,updateArea,,,,1798,65535,1,0,,,,
15/02/17,09:26:04,MULI Pointer,,Server,updateArea,,,,1749,65535,1,0,,,,
15/02/17,09:26:04,MULI Pointer,,Server,updateArea,,,,4244,43433,1,1,,,,
15/02/17,09:26:04,MULI Pointer,,Server,updateArea,,,,4788,40349,1,3,,,,
15/02/17,09:26:05,MULI Pointer,,Server,updateArea,,,,4565,28270,1,3,,,,
15/02/17,09:26:05,MULI Pointer,,Server,updateArea,,,,3800,0,1,1,,,,
15/02/17,09:26:05,MULI Pointer,,Server,updateArea,,,,4392,257,1,3,,,,
15/02/17,09:26:08,MULI Pointer,,Server,updateArea,,,,1922,1542,1,0,,,,
15/02/17,09:26:08,MULI Pointer,,Server,updateArea,,,,1922,0,1,0,,,,
15/02/17,09:26:18,MULI Pointer,,Server,updateArea,,,,4862,1285,1,3,,,,
15/02/17,09:26:19,MULI Pointer,,Server,updateArea,,,,5232,15163,1,3,,,,
15/02/17,09:26:19,MULI Pointer,,Server,updateArea,,,,4788,42662,1,3,,,,
15/02/17,09:26:20,MULI Pointer,,Server,updateArea,,,,4022,56026,1,3,,,,
15/02/17,09:26:20,MULI Pointer,,Server,updateArea,,,,2984,65535,1,3,,,,
15/02/17,09:26:22,MULI Pointer,,Server,updateArea,,,,3874,49087,1,3,,,,
15/02/17,09:26:22,MULI Pointer,,Server,updateArea,,,,4738,0,1,3,,,,
15/02/17,09:26:23,MULI Pointer,,Server,updateArea,,,,3750,1285,1,1,,,,
15/02/17,09:26:40,MULI Pointer,,Server,updateArea,,,,3404,0,1,1,,,,
15/02/17,09:26:40,MULI Pointer,,Server,updateArea,,,,3083,0,1,1,,,,
15/02/17,09:26:45,MULI Pointer,,Server,updateArea,,,,3256,3598,1,1,,,,
15/02/17,09:26:48,MULI Pointer,,Server,updateArea,,,,2984,16705,1,1,,,,
15/02/17,09:26:53,MULI Pointer,,Server,updateArea,,,,2885,0,1,1,,,,
15/02/17,09:27:02,MULI Pointer,,Server,updateArea,,,,3775,25443,1,3,,,,
15/02/17,09:27:05,MULI Pointer,,Server,updateArea,,,,1996,62708,1,3,,,,
