date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
20/03/17,08:37:47,MULI Pointer,192.168.1.62,Server,applyDrawing,,4136,,1700,46461,4,0,1,3,2,
20/03/17,08:37:48,MULI Pointer,192.168.1.62,Server,setActivity,,4550,0,,,4,0,1,3,2,
20/03/17,08:37:55,MULI Pointer,192.168.1.62,Server,removeDrawing,,807,,,,4,0,1,3,2,
20/03/17,09:07:01,MULI Pointer,192.168.1.62,Server,applyDrawing,,4176,,8000,65534,1,0,,,,
20/03/17,09:07:01,MULI Pointer,192.168.1.62,Server,setActivity,,4944,0,,,1,0,,,,
20/03/17,10:38:06,MULI Pointer,192.168.1.73,Server,applyDrawing,,3447,,6200,65534,1,0,,,,
20/03/17,10:38:07,MULI Pointer,192.168.1.73,Server,setActivity,,4831,0,,,1,0,,,,
20/03/17,13:28:29,MULI Pointer,192.168.1.62,Server,applyDrawing,,6299,,6200,65534,1,0,,,,
20/03/17,13:28:45,MULI Pointer,192.168.1.62,Server,applyDrawing,,9923,,5584,38827,1,3,,,,
20/03/17,13:28:50,MULI Pointer,192.168.1.62,Server,setActivity,,15178,1,,,1,3,,,,
20/03/17,15:01:28,MULI Pointer,192.168.1.62,Server,applyDrawing,,4547,,1700,27243,1,1,,,,
20/03/17,15:01:32,MULI Pointer,192.168.1.62,Server,setActivity,,8783,0,,,1,1,,,,
20/03/17,15:01:57,MULI Pointer,192.168.1.62,Server,applyDrawing,,2880,,1700,10,1,1,,,,
20/03/17,15:01:59,MULI Pointer,192.168.1.62,Server,setActivity,,4426,2,,,1,1,,,,
20/03/17,15:02:10,MULI Pointer,192.168.1.62,Server,applyDrawing,,4033,,7912,0,1,1,,,,
20/03/17,15:02:14,MULI Pointer,192.168.1.62,Server,setActivity,,8082,1,,,1,1,,,,
20/03/17,15:02:29,MULI Pointer,192.168.1.62,Server,applyDrawing,,7834,,7912,0,1,1,,,,
20/03/17,15:02:34,MULI Pointer,192.168.1.52,Server,applyDrawing,,13191,,6245,44472,1,1,,,,
20/03/17,15:02:35,MULI Pointer,192.168.1.52,Server,setActivity,,14354,1,,,1,1,,,,
20/03/17,15:02:47,MULI Pointer,192.168.1.62,Server,setActivity,,23,1,,,1,1,,,,
20/03/17,15:03:06,MULI Pointer,192.168.1.62,Server,applyDrawing,,8518,,6245,44472,1,1,,,,
20/03/17,15:03:29,MULI Pointer,192.168.1.62,Server,applyDrawing,,4014,,6245,44472,1,1,,,,
20/03/17,15:03:31,MULI Pointer,192.168.1.62,Server,setActivity,,5320,1,,,1,1,,,,
20/03/17,15:03:37,MULI Pointer,192.168.1.62,Server,applyDrawing,,2913,,6245,44472,1,1,,,,
20/03/17,15:03:39,MULI Pointer,192.168.1.62,Server,setActivity,,4057,1,,,1,1,,,,
20/03/17,15:04:00,MULI Pointer,192.168.1.62,Server,removeDrawing,,4693,,,,1,0,,,,
20/03/17,15:04:08,MULI Pointer,192.168.1.62,Server,removeDrawing,,1517,,,,1,0,,,,
20/03/17,15:04:11,MULI Pointer,192.168.1.62,Server,removeDrawing,,536,,,,1,0,,,,
20/03/17,15:04:22,MULI Pointer,192.168.1.62,Server,removeDrawing,,477,,,,1,0,,,,
20/03/17,15:04:29,MULI Pointer,192.168.1.62,Server,applyDrawing,,5056,,5090,32903,1,0,,,,
20/03/17,15:04:35,MULI Pointer,192.168.1.62,Server,setActivity,,11687,0,,,1,0,,,,
20/03/17,15:04:40,MULI Pointer,192.168.1.62,Server,applyDrawing,,2871,,8000,65022,1,0,,,,
20/03/17,15:04:42,MULI Pointer,192.168.1.62,Server,setActivity,,4195,1,,,1,0,,,,
20/03/17,15:04:53,MULI Pointer,192.168.1.62,Server,applyDrawing,,4661,,5849,55281,1,0,,,,
20/03/17,15:04:54,MULI Pointer,192.168.1.62,Server,setActivity,,5889,1,,,1,0,,,,
20/03/17,15:05:04,MULI Pointer,192.168.1.62,Server,removeDrawing,,1424,,,,1,2,,,,
20/03/17,15:05:05,MULI Pointer,192.168.1.62,Server,removeDrawing,,560,,,,1,2,,,,
20/03/17,15:05:06,MULI Pointer,192.168.1.62,Server,removeDrawing,,796,,,,1,2,,,,
20/03/17,15:05:11,MULI Pointer,192.168.1.62,Server,applyDrawing,,3873,,4748,34878,1,2,,,,
20/03/17,15:05:12,MULI Pointer,192.168.1.62,Server,setActivity,,4438,1,,,1,2,,,,
20/03/17,15:05:23,MULI Pointer,192.168.1.62,Server,applyDrawing,,3388,,4748,34878,1,2,,,,
20/03/17,15:05:25,MULI Pointer,192.168.1.62,Server,setActivity,,5522,1,,,1,2,,,,
20/03/17,15:05:34,MULI Pointer,192.168.1.62,Server,setActivity,,2072,1,,,1,2,,,,
20/03/17,15:06:12,MULI Pointer,192.168.1.62,Server,removeDrawing,,9405,,,,4,0,1,3,2,
20/03/17,15:06:18,MULI Pointer,192.168.1.62,Server,removeDrawing,,1334,,,,1,0,,,,
