date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
02/11/16,10:02:00,MULI Pointer,1,Server,setLight,,,,6369,32125,1,3,,,,
02/11/16,10:02:06,MULI Pointer,1,Server,setLight,,,,4244,32125,1,3,,,,
02/11/16,10:02:07,MULI Pointer,1,Server,setLight,,,,4244,32125,1,3,,,,
02/11/16,10:02:11,MULI Pointer,1,Server,setLight,,,,4244,64507,1,2,,,,
02/11/16,10:02:31,MULI Pointer,1,Server,setLight,,,,4244,64507,1,1,,,,
02/11/16,10:03:42,MULI Pointer,1,Server,setLight,,,,4121,65535,1,0,,,,
02/11/16,10:03:42,MULI Pointer,1,Server,setLight,,,,4121,65535,1,0,,,,
02/11/16,10:03:46,MULI Pointer,1,Server,setLight,,,,4121,65535,1,0,,,,
02/11/16,12:13:33,MULI Pointer,2,Server,setLight,,,,8000,65278,1,2,,,,
02/11/16,12:13:39,MULI Pointer,2,Server,setLight,,,,1700,0,1,2,,,,
02/11/16,12:13:43,MULI Pointer,2,Server,setLight,,,,1700,0,1,2,,,,
02/11/16,12:13:50,MULI Pointer,2,Server,setLight,,,,6937,0,1,2,,,,
02/11/16,12:14:41,MULI Pointer,1,Server,setLight,,,,1897,63479,1,3,,,,
02/11/16,12:14:45,MULI Pointer,1,Server,setLight,,,,1897,63479,1,2,,,,
02/11/16,12:14:51,MULI Pointer,2,Server,setLight,,,,7827,64507,1,3,,,,
02/11/16,12:14:55,MULI Pointer,2,Server,setLight,,,,7827,64507,1,2,,,,
02/11/16,12:14:57,MULI Pointer,2,Server,setLight,,,,7827,64507,1,1,,,,
02/11/16,12:16:15,MULI Pointer,2,Server,setLight,,,,1848,63993,1,2,,,,
02/11/16,12:16:25,MULI Pointer,2,Server,setLight,,,,1700,65535,1,3,,,,
02/11/16,12:17:29,MULI Pointer,2,Server,setLight,,,,4763,34952,1,2,,,,
02/11/16,12:17:33,MULI Pointer,2,Server,setLight,,,,7876,34952,1,2,,,,
02/11/16,12:17:44,MULI Pointer,2,Server,setLight,,,,3305,65021,1,2,,,,
02/11/16,12:18:32,MULI Pointer,2,Server,setLight,,,,3305,21074,1,2,,,,
02/11/16,12:18:40,MULI Pointer,2,Server,setLight,,,,3305,65535,1,2,,,,
02/11/16,12:20:04,MULI Pointer,2,Server,setLight,,,,5554,51400,1,2,,,,
