date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
14/12/16,08:22:55,MULI Pointer,,Server,updateArea,,,,8000,65535,1,0,,,,
14/12/16,08:22:55,MULI Pointer,,Server,updateArea,,,,8000,65535,1,1,,,,
14/12/16,08:22:55,MULI Pointer,,Server,updateArea,,,,8000,65535,1,2,,,,
14/12/16,08:22:55,MULI Pointer,,Server,updateArea,,,,8000,65535,1,3,,,,
14/12/16,08:22:55,MULI Pointer,,Server,updateArea,,,,8000,65535,1,0,,,,
14/12/16,08:22:55,MULI Pointer,,Server,updateArea,,,,8000,65535,1,1,,,,
14/12/16,08:22:55,MULI Pointer,,Server,updateArea,,,,8000,65535,1,2,,,,
14/12/16,08:22:55,MULI Pointer,,Server,updateArea,,,,8000,65535,1,3,,,,
14/12/16,08:22:57,MULI Pointer,,Server,updateArea,,,,5257,42405,1,0,,,,
14/12/16,08:22:57,MULI Pointer,,Server,updateArea,,,,6221,29555,1,1,,,,
14/12/16,08:22:57,MULI Pointer,,Server,updateArea,,,,2441,32896,1,2,,,,
14/12/16,08:22:57,MULI Pointer,,Server,updateArea,,,,7357,59110,1,3,,,,
14/12/16,08:25:00,MULI Pointer,,Server,updateArea,,,,7357,59110,1,3,,,,
14/12/16,08:25:15,MULI Pointer,,Server,updateArea,,,,6344,8224,1,1,,,,
14/12/16,08:25:16,MULI Pointer,,Server,updateArea,,,,2861,8995,1,2,,,,
14/12/16,08:25:16,MULI Pointer,,Server,updateArea,,,,4738,10537,1,0,,,,
14/12/16,08:25:16,MULI Pointer,,Server,updateArea,,,,2836,7710,1,2,,,,
14/12/16,08:25:16,MULI Pointer,,Server,updateArea,,,,6937,52428,1,3,,,,
14/12/16,08:25:17,MULI Pointer,,Server,updateArea,,,,5529,10023,1,3,,,,
14/12/16,08:25:17,MULI Pointer,,Server,updateArea,,,,3849,8995,1,2,,,,
14/12/16,08:25:17,MULI Pointer,,Server,updateArea,,,,3972,8738,1,2,,,,
14/12/16,08:25:17,MULI Pointer,,Server,updateArea,,,,4714,8995,1,0,,,,
14/12/16,08:25:17,MULI Pointer,,Server,updateArea,,,,5480,8738,1,3,,,,
14/12/16,08:25:18,MULI Pointer,,Server,updateArea,,,,4738,7710,1,0,,,,
14/12/16,09:00:29,MULI Pointer,,Server,updateArea,,,,6468,12593,1,1,,,,
14/12/16,09:00:29,MULI Pointer,,Server,updateArea,,,,5381,40863,1,1,,,,
14/12/16,09:00:29,MULI Pointer,,Server,updateArea,,,,3725,48316,1,1,,,,
14/12/16,09:00:30,MULI Pointer,,Server,updateArea,,,,4047,10537,1,2,,,,
14/12/16,09:00:30,MULI Pointer,,Server,updateArea,,,,4738,11565,1,0,,,,
