date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
27/03/17,09:05:09,MULI Pointer,192.168.1.62,Server,applyDrawing,,12110,,3559,16975,4,0,1,3,2,
27/03/17,09:05:09,MULI Pointer,192.168.1.62,Server,setActivity,,12792,0,,,4,0,1,3,2,
27/03/17,09:05:14,MULI Pointer,192.168.1.62,Server,removeDrawing,,590,,,,4,0,1,3,2,
27/03/17,09:46:51,MULI Pointer,192.168.1.62,Server,removeDrawing,,20545,,,,1,0,,,,
27/03/17,09:47:15,MULI Pointer,192.168.1.62,Server,applyDrawing,,5209,,6634,50805,1,0,,,,
27/03/17,09:47:18,MULI Pointer,192.168.1.62,Server,setActivity,,8748,0,,,1,0,,,,
27/03/17,10:11:53,MULI Pointer,192.168.1.62,Server,removeDrawing,,2872,,,,1,1,,,,
27/03/17,10:11:55,MULI Pointer,192.168.1.62,Server,applyDrawing,,1414,,1700,0,1,1,,,,
27/03/17,10:11:57,MULI Pointer,192.168.1.62,Server,setActivity,,4107,1,,,1,1,,,,
27/03/17,10:12:00,MULI Pointer,192.168.1.62,Server,removeDrawing,,1748,,,,1,1,,,,
27/03/17,10:12:07,MULI Pointer,192.168.1.62,Server,applyDrawing,,6118,,6697,39090,1,1,,,,
27/03/17,10:12:08,MULI Pointer,192.168.1.62,Server,setActivity,,7464,1,,,1,1,,,,
27/03/17,10:38:39,MULI Pointer,192.168.1.13,Server,applyDrawing,,2569,,6634,65534,1,0,,,,
27/03/17,10:38:40,MULI Pointer,192.168.1.13,Server,setActivity,,3834,0,,,1,0,,,,
27/03/17,10:38:46,MULI Pointer,192.168.1.13,Server,removeDrawing,,2754,,,,1,0,,,,
27/03/17,10:39:06,MULI Pointer,192.168.1.62,Server,applyDrawing,,4916,,1700,65534,1,0,,,,
27/03/17,10:39:08,MULI Pointer,192.168.1.62,Server,setActivity,,6738,3,,,1,0,,,,
27/03/17,10:39:36,MULI Pointer,192.168.1.13,Server,applyDrawing,,11719,,1700,10,1,0,,,,
27/03/17,10:39:37,MULI Pointer,192.168.1.13,Server,setActivity,,12225,0,,,1,0,,,,
27/03/17,10:44:15,MULI Pointer,192.168.1.62,Server,applyDrawing,,4081,,8000,65534,1,0,,,,
27/03/17,10:44:16,MULI Pointer,192.168.1.62,Server,setActivity,,4356,0,,,1,0,,,,
27/03/17,16:29:37,MULI Pointer,192.168.1.62,Server,applyDrawing,,2519,,4432,65534,1,0,,,,
27/03/17,16:29:38,MULI Pointer,192.168.1.62,Server,setActivity,,3330,0,,,1,0,,,,
27/03/17,16:29:42,MULI Pointer,192.168.1.62,Server,applyDrawing,,1709,,4432,65534,1,0,,,,
27/03/17,16:30:00,MULI Pointer,192.168.1.62,Server,applyDrawing,,3759,,4432,65534,1,0,,,,
27/03/17,17:38:20,MULI Pointer,192.168.1.62,Server,applyDrawing,,13643,,4432,65534,1,0,,,,
27/03/17,17:38:48,MULI Pointer,192.168.1.62,Server,applyDrawing,,6172,,4432,65534,1,0,,,,
