date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
12/02/17,09:11:49,MULI Pointer,,Server,updateArea,,,,6394,0,1,2,,,,
12/02/17,09:11:54,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:12:14,MULI Pointer,,Server,updateArea,,,,5084,0,1,3,,,,
12/02/17,09:12:18,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:14:26,MULI Pointer,,Server,updateArea,,,,5084,0,1,3,,,,
12/02/17,09:14:29,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:14:39,MULI Pointer,,Server,updateArea,,,,6418,0,1,3,,,,
12/02/17,09:14:41,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:15:16,MULI Pointer,,Server,updateArea,,,,5084,0,1,3,,,,
12/02/17,09:15:19,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:15:43,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:16:28,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:17:09,MULI Pointer,,Server,updateArea,,,,5084,0,1,3,,,,
12/02/17,09:17:13,MULI Pointer,,Server,updateArea,,,,6418,0,1,3,,,,
12/02/17,09:17:13,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:17:21,MULI Pointer,,Server,updateArea,,,,6418,0,1,3,,,,
12/02/17,09:17:22,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:18:22,MULI Pointer,,Server,updateArea,,,,6418,0,1,3,,,,
12/02/17,09:18:23,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:19:09,MULI Pointer,,Server,updateArea,,,,6418,0,1,3,,,,
12/02/17,09:19:09,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:19:24,MULI Pointer,,Server,updateArea,,,,5084,0,1,3,,,,
12/02/17,09:19:29,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:20:26,MULI Pointer,,Server,updateArea,,,,6418,0,1,3,,,,
12/02/17,09:20:27,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:20:51,MULI Pointer,,Server,updateArea,,,,6418,0,1,3,,,,
12/02/17,09:20:52,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:21:14,MULI Pointer,,Server,updateArea,,,,5084,0,1,3,,,,
12/02/17,09:21:16,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:21:32,MULI Pointer,,Server,updateArea,,,,6418,0,1,3,,,,
12/02/17,09:21:33,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:21:48,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:21:51,MULI Pointer,,Server,updateArea,,,,6418,0,1,3,,,,
12/02/17,09:21:51,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:21:55,MULI Pointer,,Server,updateArea,,,,5084,0,1,3,,,,
12/02/17,09:21:55,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:21:57,MULI Pointer,,Server,updateArea,,,,6418,0,1,3,,,,
12/02/17,09:21:58,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:22:17,MULI Pointer,,Server,updateArea,,,,5084,0,1,3,,,,
12/02/17,09:22:20,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:22:25,MULI Pointer,,Server,updateArea,,,,6418,0,1,3,,,,
12/02/17,09:22:26,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:22:26,MULI Pointer,,Server,updateArea,,,,5084,0,1,3,,,,
12/02/17,09:22:29,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:22:42,MULI Pointer,,Server,updateArea,,,,5084,0,1,3,,,,
12/02/17,09:25:23,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:35:18,MULI Pointer,,Server,updateArea,,,,6443,0,1,3,,,,
12/02/17,09:35:21,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:35:25,MULI Pointer,,Server,updateArea,,,,5776,0,1,3,,,,
12/02/17,09:35:33,MULI Pointer,,Server,updateArea,,,,6418,0,1,3,,,,
12/02/17,09:35:34,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:35:39,MULI Pointer,,Server,updateArea,,,,6418,0,1,3,,,,
12/02/17,09:35:41,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:35:49,MULI Pointer,,Server,updateArea,,,,6418,0,1,3,,,,
12/02/17,09:35:50,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
12/02/17,09:35:53,MULI Pointer,,Server,updateArea,,,,6418,0,1,3,,,,
12/02/17,09:35:53,MULI Pointer,,Server,updateArea,,,,5801,0,1,3,,,,
