date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
19/02/17,08:05:41,MULI Pointer,,Server,updateArea,,,,6072,0,1,3,,,,
19/02/17,08:16:49,MULI Pointer,,Server,updateArea,,,,4763,0,1,3,,,,
19/02/17,08:16:49,MULI Pointer,,Server,updateArea,,,,6048,0,1,3,,,,
19/02/17,08:42:51,MULI Pointer,,Server,updateArea,,,,4738,0,1,2,,,,
19/02/17,09:05:24,MULI Pointer,,Server,updateArea,,,,4738,0,1,3,,,,
19/02/17,09:12:53,MULI Pointer,,Server,updateArea,,,,6023,0,1,3,,,,
19/02/17,09:12:55,MULI Pointer,,Server,updateArea,,,,4738,0,1,3,,,,
19/02/17,09:13:52,MULI Pointer,,Server,updateArea,,,,6048,0,1,3,,,,
19/02/17,09:13:56,MULI Pointer,,Server,updateArea,,,,4763,0,1,3,,,,
19/02/17,09:14:27,MULI Pointer,,Server,updateArea,,,,6023,0,1,3,,,,
19/02/17,09:14:31,MULI Pointer,,Server,updateArea,,,,4738,0,1,3,,,,
19/02/17,09:14:44,MULI Pointer,,Server,updateArea,,,,6048,0,1,3,,,,
19/02/17,09:14:49,MULI Pointer,,Server,updateArea,,,,4763,0,1,3,,,,
19/02/17,09:15:20,MULI Pointer,,Server,updateArea,,,,6023,0,1,3,,,,
19/02/17,09:15:22,MULI Pointer,,Server,updateArea,,,,4763,0,1,3,,,,
19/02/17,09:15:37,MULI Pointer,,Server,updateArea,,,,5727,0,1,3,,,,
19/02/17,09:15:38,MULI Pointer,,Server,updateArea,,,,6072,0,1,3,,,,
19/02/17,09:15:39,MULI Pointer,,Server,updateArea,,,,4738,0,1,3,,,,
19/02/17,09:15:50,MULI Pointer,,Server,updateArea,,,,6048,0,1,3,,,,
19/02/17,09:21:24,MULI Pointer,,Server,updateArea,,,,4738,0,1,3,,,,
19/02/17,09:25:26,MULI Pointer,,Server,updateArea,,,,6048,0,1,3,,,,
19/02/17,09:28:12,MULI Pointer,,Server,updateArea,,,,4738,0,1,3,,,,
19/02/17,09:28:14,MULI Pointer,,Server,updateArea,,,,6023,0,1,3,,,,
19/02/17,11:31:47,MULI Pointer,,Server,updateArea,,,,4738,0,1,3,,,,
19/02/17,11:31:53,MULI Pointer,,Server,updateArea,,,,6072,0,1,3,,,,
19/02/17,11:51:21,MULI Pointer,,Server,updateArea,,,,4738,0,1,3,,,,
19/02/17,11:51:21,MULI Pointer,,Server,updateArea,,,,6023,0,1,3,,,,
19/02/17,12:18:02,MULI Pointer,,Server,updateArea,,,,4738,0,1,3,,,,
19/02/17,12:18:29,MULI Pointer,,Server,updateArea,,,,6048,0,1,3,,,,
19/02/17,12:19:06,MULI Pointer,,Server,updateArea,,,,4763,0,1,3,,,,
19/02/17,12:19:56,MULI Pointer,,Server,updateArea,,,,6072,0,1,3,,,,
19/02/17,12:19:58,MULI Pointer,,Server,updateArea,,,,4738,0,1,3,,,,
19/02/17,12:20:03,MULI Pointer,,Server,updateArea,,,,4145,0,1,3,,,,
19/02/17,12:20:04,MULI Pointer,,Server,updateArea,,,,4763,0,1,3,,,,
19/02/17,12:21:11,MULI Pointer,,Server,updateArea,,,,6023,0,1,3,,,,
19/02/17,12:28:22,MULI Pointer,,Server,updateArea,,,,4738,0,1,3,,,,
19/02/17,12:28:23,MULI Pointer,,Server,updateArea,,,,6072,0,1,3,,,,
19/02/17,12:43:25,MULI Pointer,,Server,updateArea,,,,4763,0,1,3,,,,
19/02/17,12:44:12,MULI Pointer,,Server,updateArea,,,,6072,0,1,3,,,,
19/02/17,12:44:14,MULI Pointer,,Server,updateArea,,,,4738,0,1,3,,,,
19/02/17,12:44:46,MULI Pointer,,Server,updateArea,,,,6072,0,1,3,,,,
19/02/17,12:44:52,MULI Pointer,,Server,updateArea,,,,4738,0,1,3,,,,
19/02/17,12:51:55,MULI Pointer,,Server,updateArea,,,,6072,0,1,3,,,,
19/02/17,12:52:12,MULI Pointer,,Server,updateArea,,,,4763,0,1,3,,,,
19/02/17,12:52:54,MULI Pointer,,Server,updateArea,,,,6072,0,1,3,,,,
19/02/17,12:52:54,MULI Pointer,,Server,updateArea,,,,4738,0,1,3,,,,
19/02/17,12:52:58,MULI Pointer,,Server,updateArea,,,,6072,0,1,3,,,,
19/02/17,13:11:02,MULI Pointer,,Server,updateArea,,,,6023,0,1,3,,,,
19/02/17,13:32:00,MULI Pointer,,Server,updateArea,,,,4763,0,1,3,,,,
19/02/17,13:37:48,MULI Pointer,,Server,updateArea,,,,6072,0,1,3,,,,
19/02/17,13:38:20,MULI Pointer,,Server,updateArea,,,,5405,0,1,0,,,,
19/02/17,13:38:35,MULI Pointer,,Server,updateArea,,,,4738,0,1,3,,,,
19/02/17,13:40:32,MULI Pointer,,Server,updateArea,,,,6048,0,1,3,,,,
19/02/17,13:41:15,MULI Pointer,,Server,updateArea,,,,4763,0,1,3,,,,
19/02/17,13:41:22,MULI Pointer,,Server,updateArea,,,,6048,0,1,3,,,,
19/02/17,13:43:10,MULI Pointer,,Server,updateArea,,,,4763,0,1,3,,,,
19/02/17,14:04:41,MULI Pointer,,Server,updateArea,,,,6072,0,1,3,,,,
19/02/17,14:04:50,MULI Pointer,,Server,updateArea,,,,4738,0,1,3,,,,
19/02/17,14:05:19,MULI Pointer,,Server,updateArea,,,,6072,0,1,3,,,,
19/02/17,14:05:20,MULI Pointer,,Server,updateArea,,,,4738,0,1,3,,,,
19/02/17,14:05:23,MULI Pointer,,Server,updateArea,,,,6072,0,1,3,,,,
19/02/17,14:05:28,MULI Pointer,,Server,updateArea,,,,4738,0,1,3,,,,
19/02/17,14:05:38,MULI Pointer,,Server,updateArea,,,,6072,0,1,3,,,,
19/02/17,14:05:47,MULI Pointer,,Server,updateArea,,,,4738,0,1,3,,,,
19/02/17,14:08:22,MULI Pointer,,Server,updateArea,,,,6072,0,1,3,,,,
