date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
01/12/16,08:56:36,MULI Pointer,,Server,updateArea,,,,8000,65535,1,0,,,,
01/12/16,08:56:36,MULI Pointer,,Server,updateArea,,,,8000,65535,1,1,,,,
01/12/16,08:56:36,MULI Pointer,,Server,updateArea,,,,8000,65535,1,2,,,,
01/12/16,08:56:36,MULI Pointer,,Server,updateArea,,,,8000,65535,1,3,,,,
01/12/16,08:56:36,MULI Pointer,,Server,updateArea,,,,8000,65535,1,0,,,,
01/12/16,08:56:36,MULI Pointer,,Server,updateArea,,,,8000,65535,1,1,,,,
01/12/16,08:56:36,MULI Pointer,,Server,updateArea,,,,8000,65535,1,2,,,,
01/12/16,08:56:36,MULI Pointer,,Server,updateArea,,,,8000,65535,1,3,,,,
01/12/16,08:56:39,MULI Pointer,,Server,updateArea,,,,5900,55512,1,1,,,,
01/12/16,08:56:39,MULI Pointer,,Server,updateArea,,,,5257,55255,1,2,,,,
01/12/16,08:56:39,MULI Pointer,,Server,updateArea,,,,4071,55512,1,3,,,,
01/12/16,08:56:39,MULI Pointer,,Server,updateArea,,,,4640,54998,1,0,,,,
01/12/16,08:56:47,MULI Pointer,,Server,updateArea,,,,4640,53713,1,0,,,,
01/12/16,08:56:47,MULI Pointer,,Server,updateArea,,,,5875,54227,1,1,,,,
01/12/16,08:56:47,MULI Pointer,,Server,updateArea,,,,5257,53970,1,2,,,,
01/12/16,08:56:47,MULI Pointer,,Server,updateArea,,,,4071,53713,1,3,,,,
01/12/16,08:56:47,MULI Pointer,,Server,updateArea,,,,4640,52171,1,0,,,,
01/12/16,08:56:47,MULI Pointer,,Server,updateArea,,,,5875,52942,1,1,,,,
01/12/16,08:56:47,MULI Pointer,,Server,updateArea,,,,4071,52171,1,3,,,,
01/12/16,08:56:47,MULI Pointer,,Server,updateArea,,,,5257,52685,1,2,,,,
01/12/16,08:56:47,MULI Pointer,,Server,updateArea,,,,5232,50886,1,2,,,,
01/12/16,08:56:47,MULI Pointer,,Server,updateArea,,,,5850,50372,1,1,,,,
01/12/16,08:56:47,MULI Pointer,,Server,updateArea,,,,4071,50886,1,3,,,,
01/12/16,08:56:47,MULI Pointer,,Server,updateArea,,,,4615,50886,1,0,,,,
01/12/16,08:56:47,MULI Pointer,,Server,updateArea,,,,5232,49601,1,2,,,,
01/12/16,08:56:47,MULI Pointer,,Server,updateArea,,,,5850,48830,1,1,,,,
01/12/16,08:56:47,MULI Pointer,,Server,updateArea,,,,4071,49601,1,3,,,,
01/12/16,08:56:48,MULI Pointer,,Server,updateArea,,,,5208,48059,1,2,,,,
01/12/16,08:56:48,MULI Pointer,,Server,updateArea,,,,4615,46003,1,0,,,,
01/12/16,08:56:48,MULI Pointer,,Server,updateArea,,,,5850,46003,1,1,,,,
01/12/16,08:56:48,MULI Pointer,,Server,updateArea,,,,5232,45489,1,2,,,,
01/12/16,08:56:48,MULI Pointer,,Server,updateArea,,,,4047,46260,1,3,,,,
01/12/16,08:56:48,MULI Pointer,,Server,updateArea,,,,4615,44718,1,0,,,,
01/12/16,08:56:48,MULI Pointer,,Server,updateArea,,,,4047,44975,1,3,,,,
01/12/16,08:56:48,MULI Pointer,,Server,updateArea,,,,5850,44718,1,1,,,,
01/12/16,08:56:48,MULI Pointer,,Server,updateArea,,,,5232,43947,1,2,,,,
01/12/16,08:56:48,MULI Pointer,,Server,updateArea,,,,4615,43433,1,0,,,,
01/12/16,08:56:48,MULI Pointer,,Server,updateArea,,,,4047,43433,1,3,,,,
01/12/16,08:56:48,MULI Pointer,,Server,updateArea,,,,5850,43433,1,1,,,,
01/12/16,08:56:48,MULI Pointer,,Server,updateArea,,,,5232,42662,1,2,,,,
01/12/16,08:56:48,MULI Pointer,,Server,updateArea,,,,4615,42148,1,0,,,,
01/12/16,08:56:48,MULI Pointer,,Server,updateArea,,,,4047,42148,1,3,,,,
01/12/16,08:56:48,MULI Pointer,,Server,updateArea,,,,5850,41891,1,1,,,,
01/12/16,08:56:48,MULI Pointer,,Server,updateArea,,,,5232,41377,1,2,,,,
01/12/16,08:56:49,MULI Pointer,,Server,updateArea,,,,4640,40349,1,0,,,,
01/12/16,08:56:49,MULI Pointer,,Server,updateArea,,,,5825,40349,1,1,,,,
01/12/16,08:56:49,MULI Pointer,,Server,updateArea,,,,5232,40092,1,2,,,,
01/12/16,08:56:49,MULI Pointer,,Server,updateArea,,,,4022,40349,1,3,,,,
01/12/16,08:56:49,MULI Pointer,,Server,updateArea,,,,4640,38807,1,0,,,,
01/12/16,08:56:49,MULI Pointer,,Server,updateArea,,,,5825,38807,1,1,,,,
01/12/16,08:56:49,MULI Pointer,,Server,updateArea,,,,4022,39064,1,3,,,,
01/12/16,08:56:49,MULI Pointer,,Server,updateArea,,,,5257,38550,1,2,,,,
01/12/16,08:56:49,MULI Pointer,,Server,updateArea,,,,5825,37522,1,1,,,,
