date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
27/10/16,09:43:57,MULI Pointer,2,Server,setLight,,,,3108,34952,1,2,,,,
27/10/16,09:44:22,MULI Pointer,0,Server,setLight,,,,5430,27499,1,0,,,,
27/10/16,09:44:23,MULI Pointer,0,Server,setLight,,,,5430,27499,1,0,,,,
27/10/16,09:53:02,MULI Pointer,0,Server,setLight,,,,7950,65021,1,0,,,,
27/10/16,10:44:15,MULI Pointer,0,Server,setLight,,,,5084,63479,1,0,,,,
27/10/16,10:44:23,MULI Pointer,0,Server,setLight,,,,5084,49601,1,0,,,,
27/10/16,12:08:33,MULI Pointer,3,Server,setLight,,,,2811,51914,1,3,,,,
27/10/16,12:08:57,MULI Pointer,3,Server,setLight,,,,1700,61166,1,3,,,,
27/10/16,12:09:12,MULI Pointer,3,Server,setLight,,,,1700,61166,1,2,,,,
27/10/16,12:38:38,MULI Pointer,2,Server,setLight,,,,7876,65535,1,2,,,,
27/10/16,12:38:44,MULI Pointer,2,Server,setLight,,,,3874,3084,1,2,,,,
27/10/16,12:38:51,MULI Pointer,2,Server,setLight,,,,1724,65535,1,2,,,,
27/10/16,12:46:41,MULI Pointer,3,Server,setLight,,,,4368,61166,1,3,,,,
27/10/16,12:46:43,MULI Pointer,3,Server,setLight,,,,4368,61166,1,2,,,,
27/10/16,15:21:49,MULI Pointer,3,Server,setLight,,,,2589,26214,1,1,,,,
27/10/16,15:23:08,MULI Pointer,3,Server,setLight,,,,2589,26214,1,0,,,,
27/10/16,15:23:38,MULI Pointer,3,Server,setLight,,,,3824,22359,1,0,,,,
27/10/16,15:23:43,MULI Pointer,3,Server,setLight,,,,5628,43433,1,0,,,,
27/10/16,15:23:44,MULI Pointer,3,Server,setLight,,,,5628,43433,1,1,,,,
27/10/16,15:37:26,MULI Pointer,3,Server,setLight,,,,2885,40349,1,0,,,,
27/10/16,16:35:01,MULI Pointer,0,Server,setLight,,,,5084,49601,1,0,,,,
27/10/16,16:35:16,MULI Pointer,0,Server,setLight,,,,5751,49858,1,0,,,,
27/10/16,16:35:24,MULI Pointer,0,Server,setLight,,,,5010,49858,1,0,,,,
27/10/16,16:35:30,MULI Pointer,0,Server,setLight,,,,4121,47545,1,0,,,,
27/10/16,16:37:36,MULI Pointer,0,Server,setLight,,,,1872,47288,1,0,,,,
27/10/16,16:37:53,MULI Pointer,0,Server,setLight,,,,2762,42405,1,0,,,,
27/10/16,16:37:58,MULI Pointer,0,Server,setLight,,,,7876,42405,1,0,,,,
27/10/16,16:38:05,MULI Pointer,0,Server,setLight,,,,4714,42405,1,0,,,,
27/10/16,16:54:49,MULI Pointer,1,Server,setLight,,,,7283,43690,1,3,,,,
27/10/16,16:54:49,MULI Pointer,1,Server,setLight,,,,7283,43690,1,3,,,,
