date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
02/12/16,08:34:05,MULI Pointer,,Server,updateArea,,,,8000,65535,1,0,,,,
02/12/16,08:34:05,MULI Pointer,,Server,updateArea,,,,8000,65535,1,1,,,,
02/12/16,08:34:05,MULI Pointer,,Server,updateArea,,,,8000,65535,1,2,,,,
02/12/16,08:34:05,MULI Pointer,,Server,updateArea,,,,8000,65535,1,3,,,,
02/12/16,08:34:05,MULI Pointer,,Server,updateArea,,,,8000,65535,1,0,,,,
02/12/16,08:34:05,MULI Pointer,,Server,updateArea,,,,8000,65535,1,1,,,,
02/12/16,08:34:05,MULI Pointer,,Server,updateArea,,,,8000,65535,1,2,,,,
02/12/16,08:34:05,MULI Pointer,,Server,updateArea,,,,8000,65535,1,3,,,,
02/12/16,08:34:19,MULI Pointer,,Server,updateArea,,,,4689,28013,1,0,,,,
02/12/16,08:34:19,MULI Pointer,,Server,updateArea,,,,4047,35980,1,1,,,,
02/12/16,08:34:19,MULI Pointer,,Server,updateArea,,,,4664,35980,1,3,,,,
02/12/16,08:34:19,MULI Pointer,,Server,updateArea,,,,3923,28270,1,2,,,,
02/12/16,09:21:47,MULI Pointer,,Server,updateArea,,,,3034,55512,1,0,,,,
02/12/16,09:21:53,MULI Pointer,,Server,updateArea,,,,2935,49601,1,0,,,,
02/12/16,09:21:54,MULI Pointer,,Server,updateArea,,,,2935,48059,1,0,,,,
02/12/16,09:21:54,MULI Pointer,,Server,updateArea,,,,2910,45232,1,0,,,,
02/12/16,09:21:55,MULI Pointer,,Server,updateArea,,,,2910,43947,1,0,,,,
02/12/16,09:21:57,MULI Pointer,,Server,updateArea,,,,2910,39064,1,0,,,,
02/12/16,09:21:59,MULI Pointer,,Server,updateArea,,,,2910,37779,1,0,,,,
02/12/16,09:21:59,MULI Pointer,,Server,updateArea,,,,3132,37008,1,0,,,,
02/12/16,09:22:02,MULI Pointer,,Server,updateArea,,,,3281,35723,1,0,,,,
02/12/16,09:31:51,MULI Pointer,,Server,updateArea,,,,4541,62194,1,0,,,,
02/12/16,09:31:51,MULI Pointer,,Server,updateArea,,,,5208,62708,1,1,,,,
02/12/16,09:31:51,MULI Pointer,,Server,updateArea,,,,5900,61680,1,3,,,,
02/12/16,09:31:52,MULI Pointer,,Server,updateArea,,,,4442,32382,1,2,,,,
02/12/16,09:31:52,MULI Pointer,,Server,updateArea,,,,6591,61166,1,2,,,,
02/12/16,11:13:54,MULI Pointer,,Server,updateArea,,,,5900,61680,1,3,,,,
02/12/16,11:16:05,MULI Pointer,,Server,updateArea,,,,5900,61680,1,3,,,,
02/12/16,11:30:19,MULI Pointer,,Server,updateArea,,,,4541,62194,1,0,,,,
02/12/16,11:30:19,MULI Pointer,,Server,updateArea,,,,5208,62708,1,1,,,,
02/12/16,11:30:19,MULI Pointer,,Server,updateArea,,,,6591,61166,1,2,,,,
02/12/16,11:30:19,MULI Pointer,,Server,updateArea,,,,5900,61680,1,3,,,,
02/12/16,11:38:00,MULI Pointer,,Server,updateArea,,,,6591,61166,1,2,,,,
02/12/16,11:38:00,MULI Pointer,,Server,updateArea,,,,5900,61680,1,3,,,,
02/12/16,11:56:31,MULI Pointer,,Server,updateArea,,,,5900,61680,1,3,,,,
