date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
22/02/17,09:03:55,MULI Pointer,,Server,updateArea,,,,5974,60909,1,1,,,,
22/02/17,09:53:12,MULI Pointer,,Server,updateArea,,,,7431,59367,1,0,,,,
22/02/17,09:53:13,MULI Pointer,,Server,updateArea,,,,7752,62194,1,0,,,,
22/02/17,09:53:13,MULI Pointer,,Server,updateArea,,,,7901,63222,1,0,,,,
22/02/17,09:53:14,MULI Pointer,,Server,updateArea,,,,6912,56283,1,0,,,,
22/02/17,09:53:14,MULI Pointer,,Server,updateArea,,,,6764,55769,1,0,,,,
22/02/17,09:53:14,MULI Pointer,,Server,updateArea,,,,6616,55255,1,0,,,,
22/02/17,09:53:15,MULI Pointer,,Server,updateArea,,,,6468,54741,1,0,,,,
22/02/17,09:53:15,MULI Pointer,,Server,updateArea,,,,6072,52685,1,0,,,,
22/02/17,10:52:29,MULI Pointer,,Server,updateArea,,,,3874,58596,1,2,,,,
22/02/17,10:52:33,MULI Pointer,,Server,updateArea,,,,3972,57054,1,2,,,,
22/02/17,10:52:35,MULI Pointer,,Server,updateArea,,,,3972,55769,1,2,,,,
22/02/17,10:52:39,MULI Pointer,,Server,updateArea,,,,4096,54741,1,2,,,,
22/02/17,10:52:41,MULI Pointer,,Server,updateArea,,,,4220,54484,1,2,,,,
22/02/17,11:06:44,MULI Pointer,,Server,updateArea,,,,3997,47288,1,3,,,,
22/02/17,11:06:49,MULI Pointer,,Server,updateArea,,,,4590,53713,1,2,,,,
22/02/17,11:06:50,MULI Pointer,,Server,updateArea,,,,4269,46260,1,3,,,,
22/02/17,11:06:51,MULI Pointer,,Server,updateArea,,,,4442,46260,1,3,,,,
22/02/17,11:06:51,MULI Pointer,,Server,updateArea,,,,4565,46003,1,3,,,,
22/02/17,11:24:06,MULI Pointer,,Server,updateArea,,,,4442,54227,1,2,,,,
22/02/17,11:24:06,MULI Pointer,,Server,updateArea,,,,4195,57054,1,2,,,,
22/02/17,11:24:07,MULI Pointer,,Server,updateArea,,,,3923,59110,1,2,,,,
22/02/17,11:24:07,MULI Pointer,,Server,updateArea,,,,3182,60909,1,2,,,,
22/02/17,11:24:07,MULI Pointer,,Server,updateArea,,,,1872,65535,1,2,,,,
22/02/17,11:24:12,MULI Pointer,,Server,updateArea,,,,5900,40092,1,0,,,,
22/02/17,11:24:12,MULI Pointer,,Server,updateArea,,,,5949,46774,1,1,,,,
22/02/17,11:24:13,MULI Pointer,,Server,updateArea,,,,2465,65535,1,2,,,,
22/02/17,11:24:13,MULI Pointer,,Server,updateArea,,,,3602,64250,1,2,,,,
22/02/17,11:24:14,MULI Pointer,,Server,updateArea,,,,7925,65021,1,2,,,,
22/02/17,11:24:22,MULI Pointer,,Server,updateArea,,,,7209,63736,1,2,,,,
22/02/17,11:24:27,MULI Pointer,,Server,updateArea,,,,7135,59110,1,2,,,,
22/02/17,11:24:28,MULI Pointer,,Server,updateArea,,,,7357,0,1,2,,,,
22/02/17,11:24:40,MULI Pointer,,Server,updateArea,,,,7308,14135,1,2,,,,
22/02/17,11:25:10,MULI Pointer,,Server,updateArea,,,,7184,13621,1,2,,,,
22/02/17,11:25:10,MULI Pointer,,Server,updateArea,,,,7135,24415,1,2,,,,
22/02/17,11:25:11,MULI Pointer,,Server,updateArea,,,,7160,14649,1,2,,,,
22/02/17,11:25:12,MULI Pointer,,Server,updateArea,,,,7530,10280,1,2,,,,
22/02/17,11:25:13,MULI Pointer,,Server,updateArea,,,,7160,10280,1,2,,,,
22/02/17,11:25:14,MULI Pointer,,Server,updateArea,,,,7085,11822,1,2,,,,
22/02/17,11:26:26,MULI Pointer,,Server,updateArea,,,,3725,21331,1,3,,,,
22/02/17,11:26:27,MULI Pointer,,Server,updateArea,,,,5455,28527,1,0,,,,
22/02/17,11:26:28,MULI Pointer,,Server,updateArea,,,,4812,10280,1,0,,,,
22/02/17,11:26:29,MULI Pointer,,Server,updateArea,,,,5776,9509,1,1,,,,
22/02/17,11:26:31,MULI Pointer,,Server,updateArea,,,,5727,11565,1,1,,,,
22/02/17,11:26:32,MULI Pointer,,Server,updateArea,,,,5381,50372,1,0,,,,
22/02/17,11:26:32,MULI Pointer,,Server,updateArea,,,,6097,50372,1,1,,,,
22/02/17,11:26:33,MULI Pointer,,Server,updateArea,,,,3898,24929,1,3,,,,
22/02/17,11:26:33,MULI Pointer,,Server,updateArea,,,,4442,46774,1,3,,,,
22/02/17,11:26:34,MULI Pointer,,Server,updateArea,,,,7209,23130,1,2,,,,
22/02/17,11:26:35,MULI Pointer,,Server,updateArea,,,,7678,49601,1,2,,,,
22/02/17,11:27:31,MULI Pointer,,Server,updateArea,,,,5381,50372,1,0,,,,
22/02/17,11:27:31,MULI Pointer,,Server,updateArea,,,,6097,50372,1,1,,,,
22/02/17,11:27:31,MULI Pointer,,Server,updateArea,,,,7678,49601,1,2,,,,
22/02/17,11:27:31,MULI Pointer,,Server,updateArea,,,,4442,46774,1,3,,,,
22/02/17,11:43:23,MULI Pointer,,Server,updateArea,,,,2737,47802,1,3,,,,
22/02/17,11:43:28,MULI Pointer,,Server,updateArea,,,,2367,47288,1,3,,,,
22/02/17,11:43:28,MULI Pointer,,Server,updateArea,,,,2194,46774,1,3,,,,
22/02/17,11:43:28,MULI Pointer,,Server,updateArea,,,,1897,46774,1,3,,,,
22/02/17,11:43:32,MULI Pointer,,Server,updateArea,,,,2021,46260,1,3,,,,
22/02/17,11:43:33,MULI Pointer,,Server,updateArea,,,,2515,46003,1,3,,,,
22/02/17,11:43:33,MULI Pointer,,Server,updateArea,,,,5208,43690,1,3,,,,
22/02/17,11:43:34,MULI Pointer,,Server,updateArea,,,,6789,43947,1,3,,,,
22/02/17,14:20:20,MULI Pointer,,Server,updateArea,,,,6789,43947,1,3,,,,
22/02/17,15:16:44,MULI Pointer,,Server,updateArea,,,,6888,43176,1,3,,,,
22/02/17,15:16:44,MULI Pointer,,Server,updateArea,,,,7011,35980,1,3,,,,
22/02/17,15:16:45,MULI Pointer,,Server,updateArea,,,,6888,30069,1,3,,,,
22/02/17,15:16:50,MULI Pointer,,Server,updateArea,,,,6690,29298,1,3,,,,
22/02/17,15:16:57,MULI Pointer,,Server,updateArea,,,,7061,13878,1,2,,,,
22/02/17,15:16:58,MULI Pointer,,Server,updateArea,,,,5134,14649,1,2,,,,
22/02/17,15:17:01,MULI Pointer,,Server,updateArea,,,,5257,14906,1,2,,,,
22/02/17,15:17:01,MULI Pointer,,Server,updateArea,,,,5430,14906,1,2,,,,
22/02/17,15:17:01,MULI Pointer,,Server,updateArea,,,,5554,14906,1,2,,,,
22/02/17,15:17:02,MULI Pointer,,Server,updateArea,,,,5677,14906,1,2,,,,
22/02/17,15:17:02,MULI Pointer,,Server,updateArea,,,,6023,15420,1,2,,,,
22/02/17,15:17:02,MULI Pointer,,Server,updateArea,,,,6641,16705,1,2,,,,
22/02/17,15:17:03,MULI Pointer,,Server,updateArea,,,,6814,17733,1,2,,,,
22/02/17,15:17:03,MULI Pointer,,Server,updateArea,,,,6937,18247,1,2,,,,
22/02/17,15:17:03,MULI Pointer,,Server,updateArea,,,,7085,19018,1,2,,,,
22/02/17,15:17:03,MULI Pointer,,Server,updateArea,,,,7209,19789,1,2,,,,
22/02/17,15:17:03,MULI Pointer,,Server,updateArea,,,,7382,21074,1,2,,,,
22/02/17,15:17:04,MULI Pointer,,Server,updateArea,,,,7505,22616,1,2,,,,
22/02/17,15:17:04,MULI Pointer,,Server,updateArea,,,,7604,24158,1,2,,,,
22/02/17,15:17:08,MULI Pointer,,Server,updateArea,,,,7703,25700,1,2,,,,
22/02/17,15:17:09,MULI Pointer,,Server,updateArea,,,,7777,28270,1,2,,,,
22/02/17,15:17:09,MULI Pointer,,Server,updateArea,,,,7802,30069,1,2,,,,
22/02/17,15:17:09,MULI Pointer,,Server,updateArea,,,,7851,33410,1,2,,,,
22/02/17,15:17:09,MULI Pointer,,Server,updateArea,,,,7950,39064,1,2,,,,
22/02/17,15:17:10,MULI Pointer,,Server,updateArea,,,,7950,40863,1,2,,,,
22/02/17,15:17:10,MULI Pointer,,Server,updateArea,,,,8000,53713,1,2,,,,
22/02/17,15:17:11,MULI Pointer,,Server,updateArea,,,,8000,55512,1,2,,,,
22/02/17,15:29:28,MULI Pointer,,Server,updateArea,,,,8000,43947,1,2,,,,
22/02/17,15:29:28,MULI Pointer,,Server,updateArea,,,,7678,2827,1,2,,,,
22/02/17,15:29:29,MULI Pointer,,Server,updateArea,,,,6295,3598,1,2,,,,
22/02/17,15:29:37,MULI Pointer,,Server,updateArea,,,,7851,19532,1,2,,,,
22/02/17,15:29:41,MULI Pointer,,Server,updateArea,,,,7283,15934,1,2,,,,
22/02/17,15:29:41,MULI Pointer,,Server,updateArea,,,,5677,11822,1,2,,,,
22/02/17,22:05:11,MULI Pointer,,Server,updateArea,,,,3577,49087,1,3,,,,
22/02/17,22:52:37,MULI Pointer,,Server,updateArea,,,,3775,48573,1,3,,,,
22/02/17,22:56:52,MULI Pointer,,Server,updateArea,,,,3454,49601,1,3,,,,
