date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
25/10/16,08:39:00,MULI Pointer,2,Server,setLight,,,,5652,18504,1,2,,,,
25/10/16,08:39:01,MULI Pointer,2,Server,setLight,,,,5652,18504,1,3,,,,
25/10/16,08:39:03,MULI Pointer,2,Server,setLight,,,,5652,18504,1,1,,,,
25/10/16,08:39:04,MULI Pointer,2,Server,setLight,,,,5652,18504,1,0,,,,
25/10/16,09:00:24,MULI Pointer,2,Server,setLight,,,,5257,32382,1,2,,,,
25/10/16,09:00:28,MULI Pointer,2,Server,setLight,,,,5257,25700,1,3,,,,
25/10/16,09:00:31,MULI Pointer,2,Server,setLight,,,,5257,23387,1,2,,,,
25/10/16,09:14:58,MULI Pointer,3,Server,setLight,,,,3676,39578,1,1,,,,
25/10/16,09:14:59,MULI Pointer,3,Server,setLight,,,,3676,39578,1,1,,,,
25/10/16,09:16:05,MULI Pointer,1,Server,setLight,,,,4343,56797,1,3,,,,
25/10/16,09:16:24,MULI Pointer,1,Server,setLight,,,,6171,42405,1,3,,,,
25/10/16,09:16:29,MULI Pointer,1,Server,setLight,,,,1724,63479,1,3,,,,
25/10/16,09:17:17,MULI Pointer,1,Server,setLight,,,,1724,47288,1,3,,,,
25/10/16,09:17:18,MULI Pointer,1,Server,setLight,,,,1724,47288,1,3,,,,
25/10/16,09:17:19,MULI Pointer,1,Server,setLight,,,,1724,47288,1,3,,,,
25/10/16,09:33:31,MULI Pointer,3,Server,setLight,,,,3676,53456,1,1,,,,
25/10/16,09:33:32,MULI Pointer,3,Server,setLight,,,,3676,53456,1,1,,,,
25/10/16,09:33:33,MULI Pointer,3,Server,setLight,,,,3676,60395,1,1,,,,
25/10/16,09:33:35,MULI Pointer,3,Server,setLight,,,,3676,46517,1,1,,,,
25/10/16,09:33:35,MULI Pointer,3,Server,setLight,,,,3676,46517,1,1,,,,
25/10/16,09:33:36,MULI Pointer,3,Server,setLight,,,,3676,46517,1,1,,,,
25/10/16,09:33:39,MULI Pointer,3,Server,setLight,,,,3701,8224,1,1,,,,
