date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
08/12/16,09:04:39,MULI Pointer,,Server,updateArea,,,,8000,65535,1,0,,,,
08/12/16,09:04:39,MULI Pointer,,Server,updateArea,,,,8000,65535,1,1,,,,
08/12/16,09:04:39,MULI Pointer,,Server,updateArea,,,,8000,65535,1,2,,,,
08/12/16,09:04:39,MULI Pointer,,Server,updateArea,,,,8000,65535,1,3,,,,
08/12/16,09:04:40,MULI Pointer,,Server,updateArea,,,,8000,65535,1,0,,,,
08/12/16,09:04:40,MULI Pointer,,Server,updateArea,,,,8000,65535,1,1,,,,
08/12/16,09:04:40,MULI Pointer,,Server,updateArea,,,,8000,65535,1,2,,,,
08/12/16,09:04:40,MULI Pointer,,Server,updateArea,,,,8000,65535,1,3,,,,
08/12/16,09:04:42,MULI Pointer,,Server,updateArea,,,,5480,33667,1,0,,,,
08/12/16,09:04:54,MULI Pointer,,Server,updateArea,,,,4664,30069,1,2,,,,
08/12/16,09:04:55,MULI Pointer,,Server,updateArea,,,,4911,35980,1,1,,,,
08/12/16,09:05:32,MULI Pointer,,Server,updateArea,,,,5603,19018,1,3,,,,
08/12/16,09:05:32,MULI Pointer,,Server,updateArea,,,,5282,26985,1,3,,,,
08/12/16,09:05:33,MULI Pointer,,Server,updateArea,,,,5998,35980,1,0,,,,
08/12/16,09:05:34,MULI Pointer,,Server,updateArea,,,,5554,33667,1,0,,,,
08/12/16,09:05:35,MULI Pointer,,Server,updateArea,,,,4343,27242,1,2,,,,
08/12/16,09:05:35,MULI Pointer,,Server,updateArea,,,,4615,28784,1,2,,,,
08/12/16,09:05:36,MULI Pointer,,Server,updateArea,,,,4911,35723,1,1,,,,
08/12/16,09:07:55,MULI Pointer,,Server,updateArea,,,,5282,26985,1,3,,,,
08/12/16,09:55:10,MULI Pointer,,Server,updateArea,,,,5282,26985,1,3,,,,
08/12/16,14:42:12,MULI Pointer,,Server,updateArea,,,,5084,46003,1,1,,,,
08/12/16,14:42:58,MULI Pointer,,Server,updateArea,,,,4911,35209,1,1,,,,
08/12/16,14:43:02,MULI Pointer,,Server,updateArea,,,,4047,37265,1,2,,,,
08/12/16,14:43:02,MULI Pointer,,Server,updateArea,,,,4343,64507,1,2,,,,
08/12/16,14:43:04,MULI Pointer,,Server,updateArea,,,,4491,65535,1,2,,,,
08/12/16,14:43:10,MULI Pointer,,Server,updateArea,,,,4565,46774,1,2,,,,
08/12/16,14:43:25,MULI Pointer,,Server,updateArea,,,,5603,59367,1,1,,,,
08/12/16,14:43:25,MULI Pointer,,Server,updateArea,,,,5554,55769,1,1,,,,
08/12/16,16:11:31,MULI Pointer,,Server,updateArea,,,,4590,45489,1,2,,,,
08/12/16,16:11:31,MULI Pointer,,Server,updateArea,,,,4220,22359,1,2,,,,
08/12/16,16:11:32,MULI Pointer,,Server,updateArea,,,,3503,35209,1,2,,,,
08/12/16,16:11:32,MULI Pointer,,Server,updateArea,,,,2465,58082,1,2,,,,
08/12/16,16:11:33,MULI Pointer,,Server,updateArea,,,,3132,61937,1,2,,,,
08/12/16,16:11:34,MULI Pointer,,Server,updateArea,,,,7703,65535,1,2,,,,
08/12/16,16:11:36,MULI Pointer,,Server,updateArea,,,,7011,50886,1,2,,,,
08/12/16,16:11:36,MULI Pointer,,Server,updateArea,,,,5282,43433,1,2,,,,
08/12/16,18:00:25,MULI Pointer,,Server,updateArea,,,,5949,43433,1,1,,,,
08/12/16,18:00:26,MULI Pointer,,Server,updateArea,,,,5949,15420,1,1,,,,
08/12/16,18:00:26,MULI Pointer,,Server,updateArea,,,,5900,14135,1,1,,,,
08/12/16,18:00:34,MULI Pointer,,Server,updateArea,,,,5776,57311,1,1,,,,
08/12/16,18:00:34,MULI Pointer,,Server,updateArea,,,,5652,58082,1,1,,,,
08/12/16,18:00:34,MULI Pointer,,Server,updateArea,,,,5578,56026,1,1,,,,
