date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
09/09/2016,10:23:37,MULI FloorPlan,192.168.1.51,Server,applyDrawing,999,9790,,4085,46812,4,0,1,3,2,201697008
09/09/2016,10:23:38,MULI FloorPlan,192.168.1.51,Server,setActivity,999,11149,0,,,4,0,1,3,2,201697009
09/09/2016,15:24:16,MULI FloorPlan,192.168.1.51,Server,applyDrawing,999,5909,,6740,63193,1,0,,,,201697010
09/09/2016,15:24:16,MULI FloorPlan,192.168.1.51,Server,setActivity,999,6700,0,,,1,0,,,,201697010
09/09/2016,16:58:58,MULI FloorPlan,192.168.1.86,Server,applyDrawing,999,5039,,6740,35112,1,0,,,,201697011
09/09/2016,16:59:01,MULI FloorPlan,192.168.1.86,Server,setActivity,999,7439,0,,,1,0,,,,201697011
09/09/2016,16:59:24,MULI FloorPlan,192.168.1.86,Server,previewDrawing,999,10827,0,4850,36048,1,0,,,,201697012
09/09/2016,17:12:36,MULI FloorPlan,192.168.1.90,Server,applyDrawing,999,2920,,5502,62491,1,0,,,,201697013
09/09/2016,17:12:37,MULI FloorPlan,192.168.1.90,Server,setActivity,999,3607,1,,,1,0,,,,201697013
09/09/2016,17:12:43,MULI FloorPlan,192.168.1.90,Server,applyDrawing,999,2783,,5502,25517,1,0,,,,201697013
09/09/2016,17:12:44,MULI FloorPlan,192.168.1.90,Server,setActivity,999,3447,1,,,1,0,,,,201697013
09/09/2016,17:16:30,MULI FloorPlan,192.168.1.86,Server,applyDrawing,999,3418,,4085,46812,2,2,3,,,201697014
09/09/2016,17:16:30,MULI FloorPlan,192.168.1.86,Server,setActivity,999,4178,2,,,2,2,3,,,201697014
09/09/2016,17:22:02,MULI FloorPlan,192.168.1.90,Server,previewDrawing,999,6263,2,4085,46812,2,2,3,,,201697015
09/09/2016,17:22:06,MULI FloorPlan,192.168.1.90,Server,applyDrawing,999,10149,,4085,46812,2,2,3,,,201697015
09/09/2016,17:22:09,MULI FloorPlan,192.168.1.90,Server,setActivity,999,12769,2,,,2,2,3,,,201697015
09/09/2016,17:22:15,MULI FloorPlan,192.168.1.90,Server,previewDrawing,999,5285,2,4085,46812,2,2,3,,,201697015
09/09/2016,17:22:26,MULI FloorPlan,192.168.1.90,Server,applyDrawing,999,2133,,2138,46812,2,2,3,,,201697016
09/09/2016,17:22:27,MULI FloorPlan,192.168.1.90,Server,setActivity,999,2925,2,,,2,2,3,,,201697016
09/09/2016,17:22:33,MULI FloorPlan,192.168.1.90,Server,applyDrawing,999,3434,,2385,25517,3,0,2,3,,201697016
09/09/2016,17:22:33,MULI FloorPlan,192.168.1.90,Server,setActivity,999,4021,0,,,3,0,2,3,,201697016
09/09/2016,17:22:43,MULI FloorPlan,192.168.1.90,Server,applyDrawing,999,3024,,4085,46812,4,0,1,3,2,201697017
09/09/2016,17:22:44,MULI FloorPlan,192.168.1.90,Server,setActivity,999,4310,0,,,4,0,1,3,2,201697017
