date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
05/09/2016,10:13:32,MULI FloorPlan,192.168.1.51,Server,previewDrawing,999,792,0,1700,1700,1,1,,,,201695000
05/09/2016,10:14:22,MULI FloorPlan,192.168.1.51,Server,previewDrawing,999,940,0,1700,1700,1,1,,,,201695001
05/09/2016,10:14:30,MULI FloorPlan,192.168.1.51,Server,previewDrawing,999,4609,0,1700,1700,4,0,1,3,2,201695001
05/09/2016,10:14:38,MULI FloorPlan,192.168.1.51,Server,previewDrawing,999,12964,0,1700,1700,4,0,1,3,2,201695001
05/09/2016,10:14:48,MULI FloorPlan,192.168.1.51,Server,previewDrawing,999,22949,0,7775,1700,4,0,1,3,2,201695001
05/09/2016,10:16:51,MULI FloorPlan,192.168.1.51,Server,applyDrawing,999,7984,,5570,65534,4,0,1,3,2,201695002
05/09/2016,10:16:53,MULI FloorPlan,192.168.1.51,Server,setActivity,999,10494,0,,,4,0,1,3,2,201695002
05/09/2016,10:17:03,MULI FloorPlan,192.168.1.51,Server,removeDrawing,999,1262,,,,4,0,1,3,2,201695003
05/09/2016,10:17:46,MULI FloorPlan,192.168.1.51,Server,applyDrawing,999,8606,,8000,65534,4,0,1,3,2,201695004
05/09/2016,10:17:58,MULI FloorPlan,192.168.1.51,Server,setActivity,999,20111,0,,,4,0,1,3,2,201695004
05/09/2016,10:18:30,MULI FloorPlan,192.168.1.51,Server,removeDrawing,999,1589,,,,4,0,1,3,2,201695005
05/09/2016,10:20:59,MULI FloorPlan,192.168.1.51,Server,previewDrawing,999,7322,0,4895,12178,4,0,1,3,2,201695006
05/09/2016,10:23:34,MULI FloorPlan,192.168.1.51,Server,applyDrawing,999,5070,,3950,37920,4,0,1,3,2,201695007
05/09/2016,10:23:35,MULI FloorPlan,192.168.1.51,Server,setActivity,999,6734,0,,,4,0,1,3,2,201695007
05/09/2016,10:28:10,MULI FloorPlan,192.168.1.51,Server,applyDrawing,999,4894,,2600,32772,3,0,1,2,,201695008
05/09/2016,10:28:13,MULI FloorPlan,192.168.1.51,Server,setActivity,999,7549,0,,,3,0,1,2,,201695008
05/09/2016,10:28:21,MULI FloorPlan,192.168.1.51,Server,previewDrawing,999,4414,0,8000,65534,4,0,1,3,2,201695008
05/09/2016,10:28:26,MULI FloorPlan,192.168.1.51,Server,previewDrawing,999,9983,0,8000,65534,4,0,1,3,2,201695008
05/09/2016,10:28:33,MULI FloorPlan,192.168.1.51,Server,applyDrawing,999,16462,,4310,26687,4,0,1,3,2,201695008
05/09/2016,10:32:29,MULI FloorPlan,192.168.1.51,Server,previewDrawing,999,4545,0,7730,65534,4,0,1,3,2,201695009
05/09/2016,10:32:36,MULI FloorPlan,192.168.1.51,Server,previewDrawing,999,11629,0,1700,65534,4,0,1,3,2,201695009
05/09/2016,10:32:43,MULI FloorPlan,192.168.1.51,Server,previewDrawing,999,18568,0,4625,65534,4,0,1,3,2,201695009
05/09/2016,14:43:50,MULI FloorPlan,192.168.1.51,Server,applyDrawing,999,7177,,4220,46344,4,0,1,3,2,201695010
05/09/2016,14:43:51,MULI FloorPlan,192.168.1.51,Server,setActivity,999,8527,0,,,4,0,1,3,2,201695010
05/09/2016,14:44:09,MULI FloorPlan,192.168.1.51,Server,previewDrawing,999,6067,0,4625,52897,4,0,1,3,2,201695011
05/09/2016,15:33:11,MULI FloorPlan,192.168.1.53,Server,applyDrawing,999,2066,,4625,52897,4,0,1,3,2,201695012
05/09/2016,15:33:11,MULI FloorPlan,192.168.1.53,Server,setActivity,999,2754,0,,,4,0,1,3,2,201695012
05/09/2016,15:33:14,MULI FloorPlan,192.168.1.53,Server,applyDrawing,999,2063,,4625,52897,4,0,1,3,2,201695012
05/09/2016,15:33:16,MULI FloorPlan,192.168.1.53,Server,setActivity,999,4198,1,,,4,0,1,3,2,201695012
05/09/2016,15:33:23,MULI FloorPlan,192.168.1.53,Server,previewDrawing,999,5659,1,7100,52897,4,0,1,3,2,201695012
