date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
13/09/16,13:34,MULI FloorPlan,192.168.1.51,Server,applyDrawing,0,10389,,4310,43068,2,2,3,,,2016913000
13/09/16,13:34,MULI FloorPlan,192.168.1.51,Server,setActivity,0,10991,0,,,2,2,3,,,2016913001
13/09/16,15:42,MULI FloorPlan,192.168.1.62,Server,applyDrawing,0,10608,,8000,65534,1,2,,,,2016913002
13/09/16,15:43,MULI FloorPlan,192.168.1.62,Server,applyDrawing,0,9048,,3725,65534,1,2,,,,2016913003
13/09/16,15:43,MULI FloorPlan,192.168.1.62,Server,setActivity,0,21681,0,,,1,2,,,,2016913004
13/09/16,15:43,MULI FloorPlan,192.168.1.62,Server,setActivity,0,2544,3,,,1,2,,,,2016913005
13/09/16,15:43,MULI FloorPlan,192.168.1.62,Server,applyDrawing,0,8411,,3545,28091,3,0,1,3,,2016913006
13/09/16,15:43,MULI FloorPlan,192.168.1.62,Server,setActivity,0,11218,0,,,3,0,1,3,,2016913007
13/09/16,15:44,MULI FloorPlan,192.168.1.62,Server,setActivity,0,1938,0,,,3,0,1,3,,2016913008
13/09/16,15:44,MULI FloorPlan,192.168.1.62,Server,applyDrawing,0,3809,,8000,18263,3,0,1,3,,2016913009
13/09/16,15:44,MULI FloorPlan,192.168.1.62,Server,setActivity,0,4293,0,,,3,0,1,3,,2016913010
13/09/16,15:44,MULI FloorPlan,192.168.1.62,Server,setActivity,0,780,0,,,3,0,1,3,,2016913011
13/09/16,15:45,MULI FloorPlan,192.168.1.62,Server,applyDrawing,0,9334,,5030,50557,1,3,,,,2016913012
13/09/16,15:45,MULI FloorPlan,192.168.1.62,Server,setActivity,0,12179,0,,,1,3,,,,2016913013
13/09/16,15:45,MULI FloorPlan,192.168.1.62,Server,setActivity,0,1451,1,,,1,3,,,,2016913014
13/09/16,15:45,MULI FloorPlan,192.168.1.62,Server,removeDrawing,0,3690,,,,4,0,1,3,2,2016913015
